secteur,forme,region,anciennete,nb_employes,experience_dirigeant,ca,resultat_net,fonds_propres,dettes,tresorerie,ratio_endettement,marge,incidents,utilisation_decouvert,anciennete_banque,montant_credit,duree,ratio_credit_ca,garantie,ltv,default
BTP,SA,Bobo,14,124,5,232116321.69957498,26882464.146528035,63938183.14133185,62727163.487226754,-3308140.267043902,0.27024020985656355,0.11581462238283116,1,0.10112267612279024,7,139305613.0131435,24,0.6001543191497102,91521899.01053725,1.5221014262073467,0
Transport,Entreprise Individuelle,Koudougou,5,168,19,327283095.5816362,44002163.56071004,187737532.9039088,259077507.36516863,45277831.37472364,0.7916006382937226,0.1344467959229942,0,0.08350071669866876,13,125836525.23423125,36,0.384488312818598,65919682.57206615,1.9089370628667925,0
BTP,SA,Banfora,13,143,18,228498230.19463277,18491421.147372626,107505430.93874913,150881245.7287705,35576623.29652924,0.6603169118651431,0.08092588345923642,1,0.23750647129246993,9,124963762.26663713,12,0.5468915980670577,46811698.956241235,2.6694985452984965,0
Agroalimentaire,SARL,Bobo,12,175,13,226891097.81725,6714513.822779333,101580406.35972203,55647475.88497688,-1916354.4358478105,0.24526072825386155,0.029593553415601853,0,0.29449394683942987,1,195716262.42353776,36,0.8626000063747671,217449028.62675613,0.9000558138131676,0
Commerce,SAS,Ouahigouya,16,104,12,201511088.0938154,6826850.792832479,48098800.809020415,63047317.37240643,13284538.127014836,0.3128726958342568,0.03387828857166497,0,0.5836561118508721,12,120896626.65747511,48,0.5999502449274183,143575584.96008953,0.8420416792387186,0
Agroalimentaire,SARL,Bobo,1,159,13,50000000.0,7062735.141801086,18789696.813601755,14945027.83411003,2640688.957317113,0.2989005566822006,0.14125470283602173,1,0.9852860506655043,11,186356600.29859784,12,3.727132005971957,218581934.87123144,0.8525709153795449,1
Industrie,SAS,Bobo,2,107,3,419775051.90252244,15699912.453234242,53810018.706588954,301748338.604747,64320138.229671665,0.718833425753032,0.03740077544408232,2,0.7689874151805105,5,231982736.57188764,36,0.5526358355992943,121237261.54699011,1.9134607101132346,0
BTP,Entreprise Individuelle,Ouahigouya,19,175,13,239980795.38077894,28416098.90697819,66974166.51270926,64347143.85471166,28292127.63965392,0.2681345553197774,0.11840988718238973,0,0.7723183917356393,11,106177627.13589384,12,0.4424421836231569,84593430.82780063,1.2551521565785675,0
BTP,Entreprise Individuelle,Bobo,17,114,15,169051740.2547748,12623034.484050103,69337378.60195838,105225894.09616621,547903.5160063312,0.6224478608595343,0.07466965122645976,0,0.014544665667881929,6,190264597.87172785,24,1.125481450738002,124246519.31915076,1.5313475090839135,1
Agroalimentaire,SA,Bobo,20,168,1,141594260.4748701,14282793.024599737,63550468.48269765,95984351.3343636,9180504.869414112,0.6778830654043264,0.10087127102962357,1,0.06623597785186586,5,294409121.0799336,60,2.0792447383994412,180376244.87430558,1.632194534735388,0
BTP,SAS,Banfora,11,117,15,360133476.9036963,13236476.844102195,141310273.14582163,158523659.50724477,44806688.41442564,0.44018029334616887,0.0367543638483844,0,0.696501466227079,9,271100754.7736833,36,0.7527785450675519,207043021.4563772,1.309393346690522,0
Industrie,Entreprise Individuelle,Fada,19,149,21,136369085.7953071,5865420.245116733,51050811.11878249,71001123.93797886,5318104.025505943,0.5206541022395139,0.04301136295597709,1,0.3300995133101554,11,31007399.155507702,12,0.2273785071937086,22729380.303456083,1.36419905609098,0
Transport,SAS,Bobo,11,65,16,104855260.1285187,2929670.100501499,56008495.23690048,26288283.721088894,10414174.164563054,0.2507102046084092,0.02794013478113229,1,0.9240417591074331,14,193111336.02848285,24,1.8416943107269077,187844001.1634707,1.0280410065394012,0
Services,Entreprise Individuelle,Ouaga,7,5,15,256619238.9519675,6148951.062723346,83069234.43116347,133331750.33261271,2724687.0801627734,0.5195703598730139,0.02396137985536724,0,0.37728416310462265,10,177910225.7652742,12,0.6932848312225507,87229954.12571754,2.0395542740841806,0
Commerce,SARL,Bobo,17,15,20,278127806.8004365,22699704.77493228,137558013.57196513,138803942.72304267,-7862653.066967511,0.4990653193574344,0.0816160923859723,0,0.5868411180208791,8,184229921.70501253,48,0.6623930337077084,76422674.7871194,2.4106709457395676,0
BTP,SA,Banfora,2,189,24,50000000.0,7068996.854439184,7544561.815510094,14585774.17552996,574471.6048063516,0.2917154835105992,0.14137993708878369,0,0.18656702405130576,14,245642168.28752017,12,4.912843365750404,91430562.61499573,2.686652704106098,0
Transport,SARL,Ouahigouya,4,154,6,197423004.51504079,-14159420.294777237,110299799.58363584,40112406.81518668,38254022.002394676,0.20318000383856327,-0.07172122787594641,0,0.7228960966217757,14,280225276.955724,36,1.419415521732549,228229874.88301525,1.22782031537002,0
Transport,Entreprise Individuelle,Fada,6,156,22,90836845.98218566,-10510925.283600591,14299392.079177707,51447448.44578088,2012729.9785002547,0.5663720254649796,-0.11571213388080345,0,0.1543627152742023,4,109779813.804664,36,1.2085383702797576,38054204.54215786,2.8848274487789083,0
Agroalimentaire,SARL,Banfora,23,140,12,276634837.98051727,-12787434.348730098,139683226.8548308,97592453.36039945,33300106.88739867,0.35278439285825836,-0.04622496010293066,1,0.47157618855015837,7,242401045.9906095,12,0.8762491657239542,258315817.34201357,0.9383902561013804,0
BTP,SARL,Banfora,21,122,11,210390774.496748,-19920115.107167315,103250795.99772722,146592829.59382793,28955131.578331206,0.6967645323064953,-0.09468150471338856,1,0.1864049867881441,3,206255221.79493603,24,0.9803434693764298,230403483.62727168,0.8951914204934471,0
Industrie,SAS,Banfora,18,42,8,181318731.75295046,13977414.644810991,99695153.26519193,104160526.63625537,15402167.805008,0.5744609265091026,0.0770875381141284,0,0.5774862709061257,1,271880880.5168792,24,1.4994638330435768,214567731.5934899,1.2671098235403455,0
Agroalimentaire,SARL,Koudougou,19,136,3,50000000.0,1905268.472312017,26965727.884335954,24862708.792118974,6768261.389238067,0.49725417584237946,0.03810536944624034,0,0.9976926159238433,9,107282178.9827535,60,2.14564357965507,107358858.39939895,0.9992857653500731,0
Transport,SA,Ouahigouya,2,12,5,337250485.1848315,45184662.43456404,51079289.169363126,176007254.68544254,15076914.936395243,0.5218888108907569,0.13397953277902744,0,0.6039578720725125,13,171160978.3915943,60,0.5075188499663353,86663297.31256957,1.9750111488865454,0
Commerce,SAS,Fada,19,166,4,286171825.790202,36482285.430796005,158603660.4675094,157404542.19358653,14369504.161949903,0.5500350768596723,0.1274838476151802,0,0.9472833396118153,12,275318674.4760301,24,0.9620747036008759,234105894.98516855,1.1760433221618471,0
Services,SARL,Banfora,12,102,16,388111330.5054761,-42911376.769947104,43278799.93846349,229304063.04366887,55426826.14150404,0.5908203265929477,-0.110564607103996,0,0.06892153936721879,3,226204385.9749224,12,0.5828337597882387,256292207.2182961,0.8826034487355813,0
Agroalimentaire,SA,Bobo,21,92,14,250260729.66421843,15811231.059513457,89948468.34338997,138835959.1220765,12450640.468922796,0.5547652614469576,0.06317903364514206,0,0.3351972416459009,4,240581168.84005788,24,0.9613220946124953,144384609.1313993,1.6662521738803442,0
Agroalimentaire,SA,Fada,11,40,2,153285416.99270085,12345763.207468856,71852634.87384014,72248132.78306496,942890.1360966762,0.4713307645338844,0.08054101590144572,0,0.14085702037979986,8,181736947.14563322,48,1.1856114607059274,123041893.19080175,1.4770330855021283,0
Industrie,SARL,Fada,11,152,26,167733357.13342035,5215745.369085435,32243624.05811963,63698008.265107594,4610022.428990853,0.3797575470598863,0.031095456850223704,0,0.4267889053367494,8,271455201.0433998,60,1.6183733854887068,234124244.3040365,1.1594493421658838,0
Agroalimentaire,Entreprise Individuelle,Ouaga,19,20,1,67216890.95099956,8121050.000334016,24455109.063942213,34998056.206654504,4723464.493602139,0.5206735347543482,0.12081859017035139,0,0.7653562810662407,4,70939876.5386759,60,1.05538764936912,26102542.33745514,2.7177382042546347,0
Commerce,SAS,Koudougou,19,112,2,156573083.45203957,6309869.844667795,83531251.51454487,69642250.95434676,13767572.814877134,0.4447906972189068,0.040299837657604747,0,0.1961130996934528,13,186613714.31611776,12,1.1918633152120304,190331894.94426498,0.9804647527455342,0
Services,SARL,Bobo,15,10,2,191649221.25043878,-23896922.651219234,88375869.63758428,136725981.2936801,30195286.565205235,0.7134178808637714,-0.12469094575652769,0,0.6680851365706462,5,133789846.31658617,24,0.6980975213134598,41702526.70846509,3.2081952072565545,0
Industrie,SARL,Ouaga,19,114,29,239638288.18911391,26722783.848033838,121909216.73201752,97075172.65835197,3560032.466448673,0.4050904110187256,0.11151299756800624,0,0.5902949425148077,12,252583261.83826992,60,1.0540188037019371,168844456.04203385,1.495952356145998,0
BTP,Entreprise Individuelle,Ouaga,12,101,20,304401188.907689,-44652958.78067925,51765427.53323898,219497848.41648513,21873599.6190784,0.7210807855387478,-0.14669114447585307,2,0.022469308320117398,14,227672344.38402635,24,0.7479351352108845,198104627.59684256,1.1492530343478713,0
Industrie,SA,Bobo,11,6,26,50000000.0,2769997.6223758985,25564596.897791848,25889850.359652434,7688180.355030714,0.5177970071930487,0.05539995244751797,0,0.06717539991571009,5,202397708.738522,24,4.04795417477044,191909929.7365071,1.0546494859146405,0
BTP,Entreprise Individuelle,Fada,6,170,2,212098090.67048627,20799864.150153384,73627079.00838736,115376403.93648201,33835317.13341471,0.5439766269076405,0.09806719185637493,0,0.7709113770642705,14,33150470.697015412,48,0.156297827067749,38546189.14490069,0.8600194061311226,0
Services,SAS,Fada,19,28,29,50000000.0,3311872.65702217,23038321.52804764,28312140.01023873,9366334.96322207,0.5662428002047746,0.0662374531404434,0,0.9540869365396331,6,225120187.21887007,12,4.502403744377402,122222274.59132549,1.841891651678094,0
Industrie,Entreprise Individuelle,Bobo,20,83,27,104187314.30995357,10167595.240386842,42890403.631377056,50483169.78543385,3760738.31793416,0.4845423852202218,0.09758957035919562,0,0.41279355060675227,13,212752670.99976608,24,2.0420208775785738,151844423.98415914,1.401122711110953,0
Industrie,SA,Banfora,12,174,19,274617195.46606356,-18379197.007157654,138328835.1907946,213448761.27792102,40506967.20059273,0.7772592714584707,-0.06692660660220348,1,0.0867052118621836,8,232349875.90479082,60,0.8460864058802319,228430658.837853,1.0171571411949558,0
Agroalimentaire,Entreprise Individuelle,Banfora,8,27,18,50000000.0,4181262.263680413,22329380.286423117,11547874.1997613,5873968.30687549,0.23095748399522598,0.08362524527360826,0,0.588263756969931,1,70561096.63565339,60,1.4112219327130677,51219531.37451134,1.3776208946489328,0
BTP,SAS,Ouahigouya,7,139,19,195253381.5372014,25786244.173288435,63959509.948026344,100254946.87335029,21699809.19643216,0.5134607456427014,0.13206554462861075,0,0.36469724945730586,12,53758728.017638065,24,0.27532802553483804,58946365.75524399,0.9119939342970534,0
Industrie,Entreprise Individuelle,Ouaga,23,110,7,281780083.6847149,17185131.584950183,104033416.87620828,168220767.09971482,37889260.752306774,0.596993105048325,0.06098774391797934,0,0.42681705665486436,12,85228652.93101746,36,0.3024651416683523,92310215.32473956,0.9232851708902448,0
Services,SA,Ouaga,13,20,3,197086726.41296697,-18821474.313971583,116683567.37209915,130267240.55979685,10729735.55471137,0.6609640483187109,-0.09549843693955261,0,0.7375823015888915,14,20936981.37203418,60,0.10623232600740315,12963340.16938221,1.615091565789866,0
Agroalimentaire,SARL,Fada,5,155,16,133373120.10454859,2977369.719803232,16344921.030306181,35434645.132621415,6389577.437485108,0.26568055920746914,0.022323611515343796,0,0.956415697559425,5,240176604.03635457,36,1.800787173967924,199274241.61633256,1.2052566457574196,1
Industrie,SA,Fada,24,13,13,182097300.82895374,23475500.661393702,73543345.06383526,92434976.57906368,1396222.482684018,0.5076131066099052,0.1289173455868219,0,0.22048620907017535,1,288035673.63533115,60,1.5817679467192467,101405380.96852694,2.8404377645869543,1
Services,SARL,Ouaga,3,22,26,120870390.62587972,10667306.950501023,36034002.86616376,79163226.57273103,14988551.465663038,0.6549430854224549,0.08825409511183487,0,0.8158331249906178,6,194422467.22183323,60,1.6085202191793462,152286643.0871117,1.2766875891447602,0
BTP,SARL,Bobo,2,13,9,50000000.0,4098399.384147395,28891287.455743834,35863828.51796353,7618950.934060975,0.7172765703592706,0.0819679876829479,0,0.5508573706091393,11,98789468.9617075,48,1.97578937923415,62772771.30390775,1.5737630649350927,1
Commerce,SARL,Koudougou,18,39,28,114073265.51192065,-3904836.4542146837,15749574.425335934,81074624.48950481,8417082.035246588,0.7107241484292612,-0.03423095180707901,0,0.5924077846595176,10,179969303.73748076,24,1.5776641698634812,142067951.43472183,1.2667832675842732,1
Commerce,SA,Koudougou,24,149,16,311959597.11806816,41412089.37921475,83294597.33541787,107068907.02407233,56939672.901201814,0.34321401878061053,0.13274824612477432,0,0.6989907380395877,12,64409429.48206063,36,0.2064672158737384,75048821.18255351,0.8582337266215955,0
BTP,Entreprise Individuelle,Bobo,10,140,11,250602190.8694712,12460259.444973657,45203610.16377436,173111035.1558254,39603552.47992057,0.6907802144714374,0.04972127099824006,0,0.00638587171683358,13,192739537.14520782,12,0.7691055552088061,154935581.40856522,1.2439978950797206,0
Industrie,SA,Banfora,24,111,3,153087371.640173,3428484.06630801,89019694.55465572,62019261.129511766,16557237.13346798,0.4051232996232117,0.022395603435968272,1,0.9372284872364511,4,38994376.54944813,36,0.25471974684563253,17537324.21163745,2.223507764290072,0
Industrie,Entreprise Individuelle,Bobo,22,195,22,119548211.95444888,12040778.429192433,62907145.3709245,94931922.91005799,14227799.035888981,0.7940890236503884,0.10071901730977204,0,0.6475736434019076,4,232313694.86012632,60,1.9432636512258683,74319752.05725466,3.1258674636206516,0
Transport,Entreprise Individuelle,Bobo,19,60,23,50000000.0,7481309.251025123,7554840.492342975,35626293.233846985,4087801.202648276,0.7125258646769397,0.14962618502050246,1,0.8399471646724719,14,84415031.2488015,36,1.68830062497603,46084999.73416835,1.8317246769172593,0
Commerce,SARL,Banfora,21,49,16,151220854.7964486,-19879011.475225613,45184367.84075141,55124405.337697916,29638442.516448617,0.364529121409202,-0.13145681197202483,0,0.8940992036791344,2,79669317.12702332,12,0.5268408066748632,70626861.01293571,1.128031403129065,0
Transport,SAS,Ouahigouya,16,29,8,149729585.6901744,-4769094.492966233,72687862.76804689,105839342.78440471,21000472.431535844,0.7068699368701328,-0.03185138375280492,0,0.13124487768238757,5,275314089.7887751,24,1.8387420797280802,235389494.9908475,1.1696107755338867,0
Transport,Entreprise Individuelle,Banfora,14,19,12,142187208.44181925,7419356.153293637,28474746.400721733,70376515.46019566,-4826938.042158526,0.4949567280448622,0.05218019422843877,0,0.26899340443509767,8,141309089.71206355,60,0.9938242072590164,61416120.92212832,2.300846871967612,0
Commerce,SARL,Ouaga,18,112,15,50000000.0,5517382.259822527,28816215.950967927,37234559.58953921,6553566.351580148,0.7446911917907841,0.11034764519645054,1,0.10279240449266569,14,59898752.0124237,48,1.1979750402484741,55838723.16495933,1.0727099155808093,0
Transport,SAS,Ouaga,1,4,1,291249758.73731565,9151837.742759598,41140271.248502664,202333662.08800152,11489901.346570378,0.6947084281381004,0.03142264488882834,0,0.9774663863147858,10,213050191.3584344,24,0.7315034089026968,221422351.27043268,0.962189183413679,0
Services,SA,Bobo,8,63,3,225268157.31543025,22562542.27960202,83495229.73897673,140890885.4481839,37786994.53045739,0.6254363116705499,0.10015859564212162,1,0.33945019254280606,11,155631565.32073137,36,0.690872456966074,172025014.76820555,0.904703106873361,1
Industrie,Entreprise Individuelle,Bobo,3,129,9,305635549.9103899,12628840.300649455,43038067.214586236,72194555.40929438,3599105.707312221,0.23621125039433827,0.04131993252863464,0,0.8717835665922017,10,112124882.58810541,48,0.36685811784977107,108744447.33478889,1.0310860493217575,0
Transport,SA,Koudougou,19,46,18,260718933.19514415,-21933238.388136666,52084140.78620998,158552815.65656534,-8330073.617897848,0.6081369454587748,-0.08412599008189395,0,0.2576828885112137,12,68774134.24191102,60,0.26378649758602163,65641621.17117957,1.0477214458576902,0
Transport,SA,Ouaga,4,110,20,50000000.0,4281491.732304616,26675787.403061215,27360262.25717181,2982692.7398698805,0.5472052451434362,0.08562983464609232,1,0.8734232380816606,2,242027706.48957685,24,4.840554129791537,288719687.92412066,0.8382791912451253,0
Transport,SARL,Ouaga,3,20,8,141255266.75701955,-17074940.44741835,78328342.27441746,43479764.63652188,1325798.0942669488,0.3078098653221452,-0.12088002691460584,1,0.8543850933695791,13,142406308.8687114,48,1.0081486668647324,94631657.97148953,1.504848503358309,0
BTP,SARL,Ouaga,20,132,7,274706760.0011098,11333879.918708764,70345266.64797284,120713723.37316386,45188317.9850935,0.4394275676822667,0.04125810343605296,0,0.5884126333406055,12,56644625.00113795,60,0.20620033158597595,29077106.172993895,1.9480833018296742,0
Services,SA,Ouahigouya,22,16,16,50000000.0,6387741.878236962,16235845.88034344,27636531.133311614,9357291.935642922,0.5527306226662323,0.12775483756473924,0,0.35925074791624556,12,30267999.541392032,60,0.6053599908278406,18798208.918450758,1.6101533753933057,0
Transport,Entreprise Individuelle,Bobo,24,46,24,230500867.06954426,22150226.85112202,87375992.44585305,120769431.89861098,-9554965.930440566,0.5239435037013276,0.09609606737157779,1,0.2311309124276466,10,31016191.3871827,36,0.13455997706865383,21927799.861858174,1.4144689199363374,0
Transport,SARL,Bobo,17,181,14,94267142.05682462,7766351.268338911,9659553.14793346,72688174.48407634,10348645.389509441,0.7710870712539434,0.08238662060696952,1,0.5155960285792502,2,115942976.67385629,48,1.2299405088993298,47903853.65545722,2.4203267133321336,0
Transport,SARL,Ouahigouya,18,126,23,393915020.4006492,16193707.16333153,57885953.227977075,237751850.35343215,24004218.152505714,0.6035612709350758,0.04110964630610171,1,0.6926259522261645,7,294016760.47214854,36,0.7463964186313724,269002762.83067864,1.0929878837609364,0
Agroalimentaire,Entreprise Individuelle,Koudougou,8,49,8,151755822.75857309,-18729149.481241036,66508005.008764304,49989140.67213234,17409635.521777898,0.32940509143863034,-0.12341634832053242,0,0.6512329770414921,10,117600626.82775173,24,0.774933209744719,141058700.59812576,0.8336999159151072,0
Transport,Entreprise Individuelle,Bobo,9,91,16,233483651.0555047,27508018.5733412,89542878.51705453,150146220.70813102,39605572.637653455,0.643069525550796,0.11781560914002444,0,0.3270331615632387,6,142688256.99535656,24,0.6111274016416511,140698700.59187815,1.0141405456845651,0
Services,SAS,Bobo,11,131,24,317551154.10090387,19907142.0090154,89940257.0760909,138993288.0864491,39334045.8258792,0.4377036149655532,0.06268955962506054,0,0.44869362262253065,1,172792328.77873257,36,0.5441401378872858,87181101.97354679,1.9819929419011317,0
Commerce,SARL,Banfora,14,76,2,50000000.0,4012711.2847037204,18559091.624493457,38544356.78997974,8089592.0171571765,0.7708871357995948,0.08025422569407441,2,0.1489918559701947,5,88899504.46343951,48,1.77799008926879,75308066.69815645,1.1804778473434876,1
Agroalimentaire,SARL,Ouaga,18,110,27,358251753.8872633,-27231458.074759822,151804651.36049685,264682962.30085745,3894402.2528763385,0.7388183293699921,-0.07601207189994434,1,0.9344360268055143,6,74476330.49188428,60,0.20788825088437923,63723183.310916096,1.1687478029542524,0
Industrie,Entreprise Individuelle,Fada,15,158,3,210423099.57941633,20099860.01962535,85256473.18909927,132501406.6974432,3820441.8345519947,0.6296904045339162,0.09552116692416371,0,0.12188609333694755,11,54502343.16820649,48,0.25901311822296685,25250636.53144343,2.1584542274939205,0
Industrie,SA,Ouaga,24,172,29,367689764.36724466,-33654442.07977006,133563158.75569844,98313847.63383637,-18146959.265993975,0.2673826066467315,-0.09152945048031404,0,0.5151751703337316,12,83862336.1457011,12,0.22807906086267954,73961995.06244971,1.1338571393983092,0
Industrie,SARL,Bobo,10,74,24,190982699.98279798,12594312.002270056,43510155.95763545,72809538.11570044,25398697.006284054,0.3812363011008771,0.06594477930935336,1,0.8095299757684418,3,194680610.90944046,12,1.0193625439737501,132684634.9256972,1.4672430686376063,0
Commerce,SARL,Banfora,12,163,23,50000000.0,3029766.609317174,20177350.90221952,26400922.381422102,399338.70144969254,0.5280184476284421,0.060595332186343484,0,0.594476335186173,14,59696830.18758852,36,1.1939366037517705,49986676.62702739,1.1942548338032724,0
Services,Entreprise Individuelle,Ouaga,7,171,17,217310002.7380869,-4793150.64909851,35681681.97022403,57036441.46325806,28486017.446482994,0.2624657896304998,-0.022056741929525718,0,0.27416066655980587,14,94170725.22628535,60,0.4333474025113548,104037160.4099474,0.9051643168192557,0
Industrie,SA,Fada,6,171,7,204090016.19110712,5875676.719595605,27545172.889864977,119209169.13789506,3630120.36681962,0.5841009342968997,0.028789633266987937,0,0.6801319311034514,12,110813450.87230517,36,0.5429636046897118,52225534.61389264,2.1218251127835734,0
